team,week,name,nflteam,position,score,started
1,1,Carson Wentz,Phi,QB,13.00,true
1,1,Davante Adams,GB,WR,34.60,true
1,1,Julian Edelman,NE,WR,10.50,true
1,1,Dalvin Cook,Min,RB,21.30,true
1,1,Mark Ingram II,Bal,RB,2.90,true
1,1,Austin Hooper,Cle,TE,2.50,true
1,1,Raheem Mostert,SF,RB,23.10,true
1,1,DK Metcalf,Sea,WR,17.50,false
1,1,Antonio Gibson,Was,RB,5.40,false
1,1,Devin Singletary,Buf,RB,7.80,false
1,1,Alexander Mattison,Min,RB,10.00,false
1,1,Joshua Kelley,LAC,RB,12.00,false
1,1,Eric Ebron,Pit,TE,2.30,false
1,1,Kenny Golladay,Det,WR,0.00,false
1,1,Jason Myers,Sea,K,9.20,true
1,1,Philadelphia,Phi,DEF,6.50,true
1,2,Carson Wentz,Phi,QB,12.38,true
1,2,Davante Adams,GB,WR,5.10,true
1,2,DK Metcalf,Sea,WR,17.20,true
1,2,Dalvin Cook,Min,RB,16.10,true
1,2,Raheem Mostert,SF,RB,17.70,true
1,2,Austin Hooper,Cle,TE,3.20,true
1,2,Mark Ingram II,Bal,RB,14.70,true
1,2,Julian Edelman,NE,WR,21.90,false
1,2,Antonio Gibson,Was,RB,11.70,false
1,2,Devin Singletary,Buf,RB,8.60,false
1,2,Alexander Mattison,Min,RB,2.10,false
1,2,Joshua Kelley,LAC,RB,12.30,false
1,2,Myles Gaskin,Mia,RB,11.20,false
1,2,Kenny Golladay,Det,WR,0.00,false
1,2,Jason Myers,Sea,K,5.00,true
1,2,New Orleans,NO,DEF,3.50,true
1,3,Gardner Minshew II,Jax,QB,9.20,true
1,3,DK Metcalf,Sea,WR,17.00,true
1,3,Kenny Golladay,Det,WR,14.70,true
1,3,Dalvin Cook,Min,RB,24.90,true
1,3,Devin Singletary,Buf,RB,14.10,true
1,3,Drew Sample,Cin,TE,0.60,true
1,3,Mark Ingram II,Bal,RB,3.00,true
1,3,Julian Edelman,NE,WR,3.20,false
1,3,Joshua Kelley,LAC,RB,4.20,false
1,3,Antonio Gibson,Was,RB,11.50,false
1,3,Alexander Mattison,Min,RB,2.70,false
1,3,Myles Gaskin,Mia,RB,12.00,false
